,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Consumer,13.0,0.0,111.01801,13.0,0.0,111.01801,13.0,0.544433,150.71164,14.0,0.0,111.01801,15.0,0.0,127.91403000000001
LazyConsumer,15.0,0.544433,114.03947,14.0,0.0,104.0,16.0,0.0,157.54363999999998,17.0,0.0,114.85643,14.0,0.0,159.20113
LazyConsumer,15.0,0.544433,234.20077999999998,17.0,0.0,93.39165,14.0,0.0,97.06184,17.0,0.0,177.50775,16.0,0.544433,93.39165
EcologicalConsumer,13.0,0.0,260.93102999999996,13.0,0.0,152.97058,15.0,0.0,102.88343,14.0,0.544433,152.97058,13.0,0.544433,260.93102999999996
Consumer,16.0,0.0,211.92923,14.0,0.0,110.25878999999999,15.0,0.544433,211.92923,16.0,0.0,91.04944,14.0,0.0,110.25878999999999
EcologicalConsumer,14.0,0.0,206.65188999999998,14.0,0.544433,127.91403000000001,17.0,0.544433,155.87816,14.0,0.0,206.65188999999998,16.0,0.544433,206.65188999999998
Consumer,16.0,0.0,93.193344,14.0,0.51301986,93.193344,14.0,0.0,93.193344,16.0,0.0,104.86182,14.0,0.0,222.56909
EcologicalConsumer,14.0,0.544433,173.44163999999998,16.0,0.544433,157.26729,16.0,0.544433,129.84991000000002,14.0,0.544433,173.44163999999998,16.0,0.0,157.26729
EcologicalConsumer,13.0,0.0,156.20498999999998,15.0,0.0,130.0,13.0,0.0,115.62438999999999,16.0,0.0,173.62315,13.0,0.0,156.20498999999998
LazyConsumer,14.0,0.0,107.37783999999999,16.0,0.0,96.42095,16.0,0.0,224.92888,14.0,0.544433,107.37783999999999,16.0,0.0,224.92888
EcologicalConsumer,14.0,0.0,234.46321,14.0,0.0,180.64883,14.0,0.544433,234.46321,14.0,0.544433,113.14591999999999,14.0,0.0,234.46321
Consumer,14.0,0.0,126.491104,16.0,0.544433,109.165016,17.0,0.0,165.9518,17.0,0.0,165.9518,17.0,0.544433,133.2704
Consumer,15.0,0.0,98.4124,14.0,0.544433,85.44004,14.0,0.544433,254.60754,17.0,0.0,147.18695,14.0,0.0,85.44004
Consumer,17.0,0.0,186.38669,16.0,0.544433,240.30813999999998,14.0,0.0,87.36131999999999,16.0,0.0,240.30813999999998,14.0,0.0,87.36131999999999
Consumer,17.0,0.0,157.20686,14.0,0.0,330.79602,15.0,0.0,110.47623999999999,15.0,0.0,110.47623999999999,17.0,0.0,157.20686
Consumer,17.0,0.0,96.42095,16.0,0.544433,156.6461,14.0,0.0,210.20228999999998,16.0,0.544433,156.6461,14.0,0.0,116.38728
EcologicalConsumer,13.0,1.0,244.23349,13.0,0.64788073,102.61579,13.0,1.0,102.61579,14.0,0.0,244.23349,10.0,1.0,244.23349
Consumer,17.0,0.0,222.81158,14.0,0.0,337.12015,14.0,0.0,163.0276,14.0,0.0,163.0276,16.0,0.544433,115.1043
LazyConsumer,17.0,0.0,104.0,14.0,0.0,159.20113,16.0,0.0,157.54363999999998,14.0,0.0,114.03947,16.0,0.0,157.54363999999998
LazyConsumer,16.0,0.0,147.411,14.0,0.0,182.7813,14.0,0.0,113.31813999999999,14.0,0.0,113.31813999999999,14.0,0.0,182.7813
Consumer,13.0,0.0,129.41792,16.0,0.544433,195.89793,13.0,0.0,129.41792,15.0,0.0,145.16541999999998,13.0,0.0,115.87925
EcologicalConsumer,16.0,0.544433,150.0,13.0,0.0,171.42053,15.0,0.0,111.01801,13.0,0.0,108.66462,16.0,0.0,150.0
Consumer,13.0,0.0,186.38669,15.0,0.544433,114.01754,13.0,0.0,119.43616999999999,15.0,0.0,146.50938,16.0,0.544433,146.50938
Consumer,15.0,0.544433,93.193344,13.0,0.0,222.56909,12.0,0.8843495000000001,126.491104,15.0,0.0,93.193344,16.0,0.0,104.86182
LazyConsumer,16.0,0.0,224.92888,12.0,0.8843495000000001,129.84991000000002,13.0,0.0,107.37783999999999,16.0,0.0,224.92888,17.0,0.0,96.42095
LazyConsumer,17.0,0.0,324.4719,14.0,0.0,106.02358000000001,14.0,0.0,151.42654,14.0,0.544433,106.02358000000001,14.0,0.0,151.42654
LazyConsumer,16.0,0.0,121.82773999999999,16.0,0.0,143.45033,14.0,0.544433,170.30855,16.0,0.544433,143.45033,14.0,0.0,170.30855
Consumer,15.0,0.0,115.66331000000001,13.0,0.544433,226.38463,13.0,0.0,341.94882,15.0,0.0,115.66331000000001,13.0,0.544433,226.38463
EcologicalConsumer,13.0,1.0,337.92307,11.0,1.0,160.86018,13.0,1.0,337.92307,13.0,0.59103215,277.06497,14.0,0.64703655,160.86018
LazyConsumer,15.0,0.0,125.25175,17.0,0.0,127.95312,16.0,0.544433,160.11246,14.0,0.0,125.25175,14.0,0.544433,211.65302000000003
LazyConsumer,16.0,0.0,221.81975,16.0,0.544433,108.0,16.0,0.0,221.81975,16.0,0.0,221.81975,16.0,0.0,108.0
EcologicalConsumer,14.0,0.544433,222.74873,16.0,0.544433,112.32987,14.0,0.0,222.74873,16.0,0.0,112.32987,14.0,0.544433,222.74873
EcologicalConsumer,14.0,0.0,243.48306000000002,15.0,0.544433,106.73331499999999,16.0,0.0,105.70241499999999,14.0,0.544433,243.48306000000002,15.0,0.0,106.73331499999999
Consumer,14.0,0.0,126.491104,14.0,0.0,165.9518,17.0,0.0,126.491104,14.0,0.544433,126.491104,14.0,0.0,216.94468999999998
Consumer,15.0,0.0,156.34897,14.0,0.544433,215.2301,13.0,0.544433,328.56199999999995,14.0,0.0,215.2301,15.0,0.544433,156.34897
EcologicalConsumer,14.0,0.0,260.93102999999996,14.0,0.0,85.90693,16.0,0.0,202.14845,14.0,0.0,260.93102999999996,16.0,0.0,202.14845
Consumer,12.0,0.0,101.04455,15.0,0.0,113.40635,14.0,0.0,155.03871,16.0,0.0,158.47397,14.0,0.544433,155.03871
EcologicalConsumer,14.0,0.544433,166.41214,16.0,0.0,154.84186,16.0,0.544433,121.60592,16.0,0.0,154.84186,16.0,0.0,121.60592
Consumer,16.0,0.0,271.86026,14.0,0.0,332.46502999999996,17.0,0.0,156.84706,14.0,0.0,332.46502999999996,17.0,0.0,156.84706
LazyConsumer,17.0,0.0,162.73291,17.0,0.0,117.0,17.0,0.544433,162.73291,15.0,0.0,103.16006999999999,16.0,0.0,207.87015
Consumer,15.0,0.0,127.91403000000001,17.0,0.0,111.01801,16.0,0.544433,127.91403000000001,14.0,0.544433,150.71164,14.0,0.544433,127.91403000000001
Consumer,16.0,0.0,85.44004,14.0,0.0,254.60754,16.0,0.0,85.44004,17.0,0.0,195.89793,14.0,0.0,254.60754
LazyConsumer,11.0,1.0,96.84007,14.0,0.27414954,140.92906000000002,14.0,0.27414954,192.77448,13.0,1.0,96.84007,14.0,0.50581104,192.77448
EcologicalConsumer,17.0,0.0,160.86018,16.0,0.544433,277.06497,14.0,0.0,110.6752,16.0,0.0,277.06497,14.0,0.0,337.92307
Consumer,15.0,0.0,100.65784000000001,13.0,0.0,105.36128000000001,15.0,0.0,147.51271,13.0,0.0,105.36128000000001,15.0,0.0,100.65784000000001
EcologicalConsumer,16.0,0.0,107.05606,15.0,0.544433,234.46321,14.0,0.0,113.14591999999999,15.0,0.544433,234.46321,16.0,0.0,107.05606
Consumer,13.0,0.0,177.62883,13.0,0.0,289.99484,15.0,0.0,121.37957,14.0,0.0,177.62883,13.0,0.0,289.99484
Consumer,16.0,0.0,281.32898,14.0,0.0,341.94882,16.0,0.544433,115.66331000000001,14.0,0.544433,341.94882,16.0,0.544433,115.66331000000001
Consumer,14.0,0.0,163.0276,16.0,0.0,115.1043,14.0,0.0,163.0276,14.0,0.0,337.12015,14.0,0.0,337.12015
EcologicalConsumer,15.0,0.0,203.0665,13.0,0.0,128.31601,15.0,0.0,152.30562,13.0,0.0,121.85237,16.0,0.0,203.0665
LazyConsumer,16.0,0.0,117.0,17.0,0.0,162.73291,14.0,0.0,264.3199,16.0,0.0,103.16006999999999,14.0,0.0,264.3199
LazyConsumer,16.0,0.0,179.1089,12.0,0.8843495000000001,108.68302,15.0,0.0,130.86252,16.0,0.0,179.1089,17.0,0.0,104.78549
Consumer,17.0,0.0,174.4133,16.0,0.544433,223.65152,14.0,0.0,281.95212000000004,16.0,0.0,223.65152,14.0,0.0,281.95212000000004
LazyConsumer,13.0,0.0,105.68348999999999,15.0,0.0,125.25175,13.0,0.544433,127.95312,13.0,0.0,105.68348999999999,13.0,0.0,127.95312
Consumer,17.0,0.0,103.46497,14.0,0.0,250.35374,14.0,0.0,96.76776,17.0,0.0,147.8276,17.0,0.0,103.46497
EcologicalConsumer,17.0,0.0,193.98196000000002,16.0,0.0,99.62429,17.0,0.0,149.48244,15.0,0.0,99.62429,17.0,0.0,106.25441000000001
Consumer,16.0,0.0,146.50938,15.0,0.544433,114.01754,17.0,0.0,186.38669,14.0,0.544433,114.01754,14.0,0.0,186.38669
Consumer,14.0,0.0,121.82365,15.0,0.544433,210.64188,14.0,0.544433,121.82365,15.0,0.0,210.64188,14.0,0.0,121.82365
EcologicalConsumer,13.0,0.0,108.66462,13.0,0.0,171.42053,15.0,0.0,111.01801,14.0,0.0,108.66462,15.0,0.0,111.01801
Consumer,15.0,0.544433,103.40696,17.0,0.0,113.88591000000001,14.0,0.544433,134.46933,15.0,0.544433,103.40696,17.0,0.0,140.00714
